"Id","Date Created","Shot > Sequence","Shot > Description","Motion description","Project",
"134398","2025/03/31 15:58:23","2025-03-28","Elbow Strike: Forward, Backward, Sideways, Upward, Downward strikes, Close range attacks.","Dodging an attack bending down and turn back, hitting with right elbow, left punch, right punch. Wide leg stance.Gathering energy and thinking about the next move.","crs",
"134397","2025/03/31 15:57:22","2025-03-28","Elbow Strike: Forward, Backward, Sideways, Upward, Downward strikes, Close range attacks.","Hitting someone from the back with both elbows at the same time. Turning back and hitting with the right elbow and then a left punch. A lot of energy and inertia.","crs",
"134396","2025/03/31 15:56:33","2025-03-28","Elbow Strike: Forward, Backward, Sideways, Upward, Downward strikes, Close range attacks.","Looking back, knees bend a little and hitting someone from behind with and elbow and then a punch.","crs",
"134395","2025/03/31 15:55:55","2025-03-28","Elbow Strike: Forward, Backward, Sideways, Upward, Downward strikes, Close range attacks.","Walking back and taking a breath. Sensing a hit is coming from behind, looking behind and hitting with the right elbow.","crs",
"134394","2025/03/31 15:54:47","2025-03-28","Elbow Strike: Forward, Backward, Sideways, Upward, Downward strikes, Close range attacks.","Hitting someone with the right elbow and then throwing a left punch. Returning to stance pose.","crs",
"134393","2025/03/31 15:53:52","2025-03-28","Elbow Strike: Forward, Backward, Sideways, Upward, Downward strikes, Close range attacks.","Moving forward and punching with the right and left elbow, returning to stance, hiding face from opponent.","crs",
"134392","2025/03/31 15:52:39","2025-03-28","Elbow Strike: Forward, Backward, Sideways, Upward, Downward strikes, Close range attacks.","From a pose with right elbow forward, returning to a stance.","crs",
"134391","2025/03/31 15:51:53","2025-03-28","Elbow Strike: Forward, Backward, Sideways, Upward, Downward strikes, Close range attacks.","Making a small step forward to switch balance and hitting someone with the right elbow. Covering face with the left hand.Moving with hesitance.Not sure.","crs",
"134390","2025/03/31 15:51:26","2025-03-28","Elbow Strike: Forward, Backward, Sideways, Upward, Downward strikes, Close range attacks.","Making a step forward and punching first with the right elbow and then with the left one. Returning to place with a step back.","crs",
"134381","2025/03/31 15:19:51","2025-03-25","Drawing a circle on the ground (with finger), Chanting, Holding arms out, Showing anticipation, Reacting to creature's appearance (fear, awe, control).","Bending spine forward and back, holding hands together, separating them and summoning a demon.Bending forward on the floor, face touching the ground.","crs",
"134380","2025/03/31 15:18:59","2025-03-25","Drawing a circle on the ground (with finger), Chanting, Holding arms out, Showing anticipation, Reacting to creature's appearance (fear, awe, control).","On the ground on both knees, Bending spine forward and back, holding hands together, separating them and summoning a demon.","crs",
"134379","2025/03/31 15:18:08","2025-03-25","Drawing a circle on the ground (with finger), Chanting, Holding arms out, Showing anticipation, Reacting to creature's appearance (fear, awe, control).","Bending forward and back. sitting on both knees on the ground to summon a demon, arms crossed infront of the body and speaking to someone.","crs",
"134378","2025/03/31 15:17:28","2025-03-25","Drawing a circle on the ground (with finger), Chanting, Holding arms out, Showing anticipation, Reacting to creature's appearance (fear, awe, control).","Bending forward on the floor, head and both hands touching the floor, summoning a demon, moving forward and back.","crs",
"134377","2025/03/31 15:16:29","2025-03-25","Drawing a circle on the ground (with finger), Chanting, Holding arms out, Showing anticipation, Reacting to creature's appearance (fear, awe, control).","Summoning a demon, sitting on both knees on the ground, body bend forward with forehead touching the ground. Bending spine back with both hands up in the air and very open pose, returning to the bend forward pose.","crs",
"134376","2025/03/31 15:15:28","2025-03-25","Drawing a circle on the ground (with finger), Chanting, Holding arms out, Showing anticipation, Reacting to creature's appearance (fear, awe, control).","Summoning a demon, sitting on the ground on both knees, really bend down with forehead touching the ground and standing still. Straighten up back and holding hands in front of the head to pray and bending down.","crs",
"134374","2025/03/31 15:14:05","2025-03-25","Drawing a circle on the ground (with finger), Chanting, Holding arms out, Showing anticipation, Reacting to creature's appearance (fear, awe, control).","Summoning a demon, sitting on both knees on the ground, open elbows sideways, holding a book in the left hand. Bending forward and back. Looks possessed.","crs",
